symbol,shortName,regularMarketPrice,regularMarketOpen,regularMarketPreviousClose,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,regularMarketChange,regularMarketChangePercent,regularMarketTime,data_coleta,marketCap,priceEarnings,earningsPerShare
PETR4,PETROBRAS   PN  EDJ N2,30.38,30.15,30.65,30.58,30.23,11872900,-0.27,-0.881,2025-08-26 18:17:18+00:00,2025-08-26 15:34:54.924528,400753407463.0,5.035731538705003,6.0030727
VALE3,VALE        ON  EJ  NM,55.2,53.23,54.92,55.26,54.68,10638000,0.28,0.51,2025-08-26 18:18:25+00:00,2025-08-26 15:34:55.537262,227269791573.0,7.837809902101205,6.7822037
ITUB4,ITAUUNIBANCOPN  EJ  N1,36.82,36.25,37.2,37.29,36.55,10538500,-0.38,-1.022,2025-08-26 18:19:43+00:00,2025-08-26 15:34:56.141371,369708180819.0,9.07547499563079,4.0395859
BBDC4,BRADESCO    PN      N1,16.26,15.68,16.35,16.41,16.19,15120300,-0.09,-0.5499999999999999,2025-08-26 18:19:44+00:00,2025-08-26 15:34:56.756527,155619531226.0,8.073103307054366,1.953416
WEGE3,WEG         ON      NM,37.59,35.55,37.73,37.94,37.37,8758000,-0.14,-0.371,2025-08-26 18:16:49+00:00,2025-08-26 15:34:57.354543,149378010785.0,23.543657546799317,1.5279943
MGLU3,MAGAZ LUIZA ON      NM,7.01,6.87,7.12,7.24,6.98,12481200,-0.11,-1.545,2025-08-26 18:15:51+00:00,2025-08-26 15:34:57.963487,4581868785.0,12.693557637163066,0.5238851
ABEV3,AMBEV S/A   ON,12.13,12.01,12.12,12.19,12.1,11695000,0.01,0.083,2025-08-26 18:19:43+00:00,2025-08-26 15:34:58.610352,190191075318.0,12.93149513733034,0.9402094
JBSS32,JBS N.V.    DR2,85.94,83.22,84.08,86.11,83.55,2621163,1.86,2.212,2025-08-26 18:19:58+00:00,2025-08-26 15:34:59.300488,88683685052.0548,11.285599487884937,7.3421421
BBAS3,BRASIL      ON      NM,20.26,19.87,20.05,20.42,19.93,20380400,0.21,1.047,2025-08-26 18:16:47+00:00,2025-08-26 15:34:59.929662,113232560481.0,7.154688175140429,2.7771838
BOVA11,ISHARES BOVACI,134.57,131.24,135.11,135.21,134.17,2470922,-0.54,-0.4,2025-08-26 18:19:59+00:00,2025-08-26 15:35:00.591246,,,
